         -17          51
         -17           9
           4          54
         -22         -42
          33         -15
           0          16
          50          30
           4           6
         -16         -10
          19         -21
         -22         -10
           1          -9
          19          11
          18          28
         -17           1
           5          47
          -6          24
          31          21
           0         -32
          14          -4
          13          15
         -28          -2
          18         -30
          11         -65
          54          16
          13          -1
          -7           1
           8          10
          43          21
           8         -28
           5           5
          38          -2
          23          23
          -1         -35
          42          -4
          21           1
          21          47
          27          17
          21           5
         -16           0
         -15         -25
          13         -29
         -16          12
           9         -17
          12         -18
           5          19
          12          12
          -3         -39
          60          36
          -4         -26
          -1         -19
          -3         -21
          17          31
           4          30
          -6          10
         -33         -27
          -5         -11
          -9           5
           1           9
          14          18
          37          -3
          10         -48
         -34          16
          33           1
           4         -34
           1          -9
          24          26
          17         -13
          14         -22
          42           6
         -14         -24
           7          19
          17          -1
           0           0
